Date,Camp,SPX
2017-02-23,5835.51,2367.34
2017-02-24,5845.31,2369.75
2017-02-27,5861.9,2363.64
2017-02-28,5825.44,2395.96
2017-03-01,5904.03,2381.92
2017-03-02,5861.22,2383.12
2017-03-03,5870.75,2375.31
2017-03-06,5849.17,2368.39
2017-03-07,5833.93,2362.98
2017-03-08,5837.55,2364.87
2017-03-09,5838.81,2372.6
2017-03-10,5861.73,2373.47
2017-03-13,5875.78,2365.45
2017-03-14,5856.82,2385.26
2017-03-15,5900.05,2381.38
2017-03-16,5900.76,2378.25
2017-03-17,5901,2373.47
2017-03-20,5901.53,2344.02
2017-03-21,5793.83,2348.45
2017-03-22,5821.64,2345.96
2017-03-23,5817.69,2343.98
2017-03-24,5828.74,2341.59
2017-03-27,5840.37,2358.57
2017-03-28,5875.14,2361.13
2017-03-29,5897.55,2368.06
2017-03-30,5914.34,2362.72
2017-03-31,5911.74,2358.84
2017-04-03,5894.68,2360.16
2017-04-04,5898.61,2352.95
2017-04-05,5864.48,2357.49
2017-04-06,5878.95,2355.54
2017-04-07,5877.81,2357.16
2017-04-10,5880.93,2353.78
2017-04-11,5866.77,2344.93
2017-04-12,5836.16,2328.95
2017-04-13,5805.15,2349.01
2017-04-17,5856.79,2342.19
2017-04-18,5849.47,2338.17
2017-04-19,5863.03,2355.84
2017-04-20,5916.78,2348.69
2017-04-21,5910.52,2374.15
2017-04-24,5983.82,2388.61
2017-04-25,6025.49,2387.45
2017-04-26,6025.23,2388.77
2017-04-27,6048.94,2384.2
2017-04-28,6047.61,2388.33
2017-05-01,6091.6,2391.17
2017-05-02,6095.37,2388.13
2017-05-03,6072.55,2389.52
2017-05-04,6075.34,2399.29
2017-05-05,6100.76,2399.38
2017-05-08,6102.66,2396.92
2017-05-09,6120.59,2399.63
2017-05-10,6129.14,2394.44
2017-05-11,6115.96,2390.9
2017-05-12,6121.23,2402.32
2017-05-15,6149.67,2400.67
2017-05-16,6169.87,2357.03
2017-05-17,6011.24,2365.72
2017-05-18,6055.13,2381.73
2017-05-19,6083.7,2394.02
2017-05-22,6133.62,2398.42
2017-05-23,6138.71,2404.39
2017-05-24,6163.02,2415.07
2017-05-25,6205.26,2415.82
2017-05-26,6210.19,2412.91
2017-05-30,6203.19,2411.8
2017-05-31,6198.52,2430.06
2017-06-01,6246.83,2439.07
2017-06-02,6305.8,2436.1
2017-06-05,6295.68,2429.33
2017-06-06,6275.06,2433.14
2017-06-07,6297.38,2433.79
2017-06-08,6321.76,2431.77
2017-06-09,6207.92,2429.39
2017-06-12,6175.46,2440.35
2017-06-13,6220.37,2437.92
2017-06-14,6194.89,2432.46
2017-06-15,6165.5,2433.15
2017-06-16,6151.76,2453.46
2017-06-19,6239.01,2437.03
2017-06-20,6188.03,2435.61
2017-06-21,6233.95,2434.5
2017-06-22,6236.69,2438.3
2017-06-23,6265.25,2439.07
2017-06-26,6247.15,2419.38
2017-06-27,6146.62,2440.69
2017-06-28,6234.41,2419.7
2017-06-29,6144.35,2423.41
2017-06-30,6140.42,2429.01
2017-07-03,6110.06,2432.54
2017-07-05,6150.86,2409.75
2017-07-06,6089.46,2425.18
2017-07-07,6153.08,2427.43
2017-07-10,6176.39,2425.53
2017-07-11,6193.3,2443.25
2017-07-12,6261.17,2447.83
2017-07-13,6274.44,2459.27
2017-07-14,6312.47,2459.14
2017-07-17,6314.43,2460.61
2017-07-18,6344.31,2473.83
2017-07-19,6385.04,2473.45
2017-07-20,6390,2472.54
2017-07-21,6387.75,2469.91
2017-07-24,6410.81,2477.13
2017-07-25,6412.17,2477.83
2017-07-26,6422.75,2475.42
2017-07-27,6382.19,2472.1
2017-07-28,6374.68,2470.3
2017-07-31,6348.12,2476.35
2017-08-01,6362.94,2477.57
2017-08-02,6362.65,2472.16
2017-08-03,6340.34,2476.83
2017-08-04,6351.56,2480.91
2017-08-07,6383.77,2474.92
2017-08-08,6370.46,2474.02
2017-08-09,6352.33,2438.21
2017-08-10,6216.87,2441.32
2017-08-11,6256.56,2465.84
2017-08-14,6340.23,2464.61
2017-08-15,6333.01,2468.11
2017-08-16,6345.11,2430.01
2017-08-17,6221.91,2425.55
2017-08-18,6216.53,2428.37
2017-08-21,6213.13,2452.51
2017-08-22,6297.48,2444.04
2017-08-23,6278.41,2438.97
2017-08-24,6271.33,2443.05
2017-08-25,6265.64,2444.24
2017-08-28,6283.02,2446.3
2017-08-29,6301.89,2457.59
2017-08-30,6368.31,2471.65
2017-08-31,6428.66,2476.55
2017-09-01,6435.33,2457.85
2017-09-05,6375.57,2465.54
2017-09-06,6393.31,2465.1
2017-09-07,6397.87,2461.43
2017-09-08,6360.19,2488.11
2017-09-11,6432.26,2496.48
2017-09-12,6454.28,2498.37
2017-09-13,6460.19,2495.62
2017-09-14,6429.08,2500.23
2017-09-15,6448.47,2503.87
