Date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,BlkSizeMeanByte,BlkWghtMean,BlkWghtTot,CapAct1yrUSD,DiffLast,DiffMean,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowOutExNtv,FlowTfrFromExCnt,HashRate,IssContPctAnn,IssContPctDay,IssTotNtv,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,Close,RevHashRateUSD,RevNtv,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,SplyMiner0HopAllNtv,SplyMiner0HopAllUSD,SplyMiner1HopAllNtv,SplyMiner1HopAllUSD,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr,Open,Gsearch_scaled,High,Low,DXY,Twitter,FG,Git,Rate
2022-06-21,927938,9179,2463194,17498522,990,490765,7638697,43,98271,42257196,20738479,10249709,3607615,15876,5,147897,96,866543,2209,1137743.107,2989500.187,448425028,138228976565,30283293547737,30283293547737,16.78535146,347263.1584,34085.94221,28611.50541,10219,225808603.9,1.794049205,0.0049152033,937.5,0.3433649519,23.62158221,21.54109219,18.04675176,16.45726946,20688.46513,0.08743112035,954.2853515,16557896.95,4737976.128,446698.0193,6681451.509,10541123.92,2102702.901,11823085.8,13123447.46,14543011.21,1345061.698,3316702.226,17297808.32,35.03007218,11046397.05,18659586.0,19062041.14,6549162.286,17499337.65,18992925.87,2283532.077,15507030.13,19066431.28,19026729.09,18810279.75,17962162.81,16146373.97,11883980.84,776595.9027,2941631.042,8024591.028,19070730.07,19068845.88,19049380.97,16809744.77,18357406.89,9813685.576,18917072.46,14541308.99,2981418.331,18864136.6,17362682.31,19073473.43,20677648.44,14572023.04,1802720.691,37295524164.0,2581700.171,53411413958,260657,3.016863426,792999,807459.6044,3.656941986,0.00450999,21.68363469,20594.29492,0.4,21620.62891,20415.0625,104.440002,144041.0,9.0,593.0,1.75
2022-06-22,859651,9172,2466496,17500244,993,491197,7648405,43,98542,42262397,20739485,10260878,3612368,15874,5,148044,95,867278,2211,1259024.76,3328603.876,429389900,133658394439,29570168636358,30111922445002,16.45287556,329109.6395,26550.72409,30253.6606,8802,193096459.4,1.542817113,0.0042268962,806.25,0.3431143456,30.27954364,20.95583932,23.12505739,16.00436892,20003.16834,0.08522509508,822.7028756,16558223.76,4716204.336,452642.6703,6681861.202,10541304.15,2133765.026,11820474.4,13121051.88,14538222.37,1297339.892,3323019.225,17298473.37,35.03073938,11036035.12,18659990.04,19062847.34,6544658.989,17498300.05,18993744.18,2283959.198,15506140.61,19067236.38,19027564.99,18810871.63,17961546.59,16144360.06,11874300.82,777160.9027,2926441.605,8017887.016,19071531.71,19069576.42,19048914.82,16778307.23,18336565.13,9758880.729,18912860.3,14490787.86,2976060.341,18864430.37,17360847.21,19074279.68,20677749.22,14567386.4,1802915.418,36064020600.0,2565029.978,51308726443,247129,2.860289352,740075,629939.4703,2.459513057,0.00472376,21.74091428,20719.41406,0.4,20835.75,19848.07813,104.43,132512.0,11.0,592.0,1.75
2022-06-23,866807,9169,2471534,17521787,990,491745,7661290,43,98488,42296002,20763315,10275399,3619272,15869,5,148076,96,868438,2207,1080483.401,2878124.572,437474935,140915722252,29570168636358,29570168636358,14.99802924,316414.9652,22052.48812,25652.35393,26987,223431041.4,1.817802492,0.0049802808,950.0,0.3428707496,32.82757214,22.24838341,25.06949631,16.99046654,21097.10283,0.09111832683,964.9980292,16558575.45,4717955.941,383807.3169,6679387.372,10541560.29,2122605.717,11819366.18,13120756.69,14538091.06,1176936.478,3321861.214,17299449.79,35.01602594,11033460.96,18660322.25,19063791.23,6540338.299,17496130.28,18994633.16,2284345.919,15501021.21,19068182.51,19028478.25,18811457.42,17960149.55,16140292.0,11871244.58,777415.9027,2938777.932,8011541.493,19072488.8,19070643.39,19051608.81,16816841.33,18364059.64,9826220.267,18920593.32,14548429.14,2978493.209,18864777.25,17358240.01,19075229.68,20677867.97,14567218.01,1802855.125,38035019973.0,2562685.594,54065241511,258973,2.997372685,780092,581073.4221,2.316228532,0.00443757,21.80125778,19986.60742,0.4,21135.76172,19950.11719,104.209999,128157.0,11.0,594.0,1.75
2022-06-24,869532,9172,2476472,17548438,982,492496,7673030,42,98463,42326959,20793924,10288928,3625963,15876,5,148134,98,869683,2210,1299097.496,3416579.171,440738713,142333329822,29570168636358,29570168636358,15.90724606,338809.6585,23162.20038,25349.23613,25555,189622395.5,1.542675055,0.004226507,806.25,0.3417645026,26.57995095,22.3557261,20.29676274,17.07109503,21299.07699,0.09234769148,822.1572461,16558099.76,4720164.461,375339.5442,6682605.538,10537452.85,2134532.42,11817991.0,13120926.93,14537507.8,1129564.672,3277146.884,17300438.14,35.03141619,11028090.39,18660556.89,19064594.44,6519511.931,17494152.4,18995356.27,2263599.981,15495446.53,19068992.52,19029225.38,18811936.88,17958776.45,16135771.51,11866569.96,777451.9027,2956632.104,8007516.518,19073296.17,19071468.29,19052614.5,16819287.72,18366924.96,9832340.949,18922155.63,14554970.51,2976538.075,18865006.46,17355344.76,19076035.93,20677968.75,14566685.09,1802690.053,38395634228.0,2561941.819,54566996038,250666,2.901226852,775021,717685.1441,3.272997071,0.00434893,21.90008732,21084.64844,0.4,21472.91797,20777.51172,104.379997,124250.0,11.0,594.0,1.75
2022-06-25,742895,9166,2479044,17577121,980,492738,7683118,42,98495,42385115,20836838,10301798,3629575,15873,5,148166,98,870386,2207,1085839.219,3165437.272,477981028,143447506423,29570168636358,29570168636358,13.366848,286964.0798,9356.225219,11465.91416,18115,221961099.2,1.805677594,0.0049470619,943.75,0.3415090712,52.7350766,22.56508756,40.26847898,17.23068995,21468.34316,0.09257348701,957.116848,16558319.58,4726108.095,330879.2229,6681815.424,10545398.89,2133516.399,11824036.67,13129252.46,14537889.44,986514.2601,3282466.378,17301214.37,35.02554144,11023308.66,18660922.33,19065509.44,6514961.612,17493108.53,18996173.35,2263190.234,15493383.48,19069927.82,19030083.1,18812443.31,17958329.3,16133717.29,11862096.42,777451.9027,2956241.752,8001764.953,19074240.75,19072425.17,19053657.62,16821976.85,18369608.83,9837632.469,18923602.16,14556055.07,2976147.723,18865689.83,17355024.92,19076979.68,20678086.72,14567172.46,1802867.619,38704580700.0,2562292.022,55008164401,217926,2.522291667,668284,361751.2462,1.546927768,0.00334,21.89966559,21233.60938,0.4,21520.91406,20964.58594,104.379997,128224.0,14.0,594.0,1.75
2022-06-26,734812,9166,2482012,17613618,980,493030,7695255,42,98474,42434640,20875223,10319599,3634127,15876,5,148224,98,871142,2205,1285302.543,3994532.848,551245533,140646960600,29570168636358,29570168636358,12.75874405,268783.6246,8881.213369,11064.65313,17996,202851865.0,1.650147298,0.0045209515,862.5,0.341503535,61.99300667,22.36592154,47.33609319,17.07798029,21066.62094,0.09089758276,875.2587441,16558405.0,4721837.251,198474.696,6676294.266,10545139.32,2122118.401,11820136.95,13128332.35,14537885.03,764907.4561,3275351.705,17302027.92,34.9950178,11020351.12,18661045.54,19066364.4,6515150.544,17491707.2,18996859.37,2263761.798,15490183.04,19070785.08,19030847.02,18812789.07,17957468.39,16131479.87,11859569.66,777451.9027,2955743.675,7998359.515,19075100.98,19073248.12,19054039.29,16809516.44,18362418.62,9813808.527,18922288.56,14537703.72,2975649.646,18866079.62,17354053.08,19077842.18,20678194.53,14567296.6,1802915.079,37981328564.0,2562123.275,53975279842,207474,2.401319444,632577,307741.8439,1.141129602,0.0033088,21.89432462,21496.49414,0.4,21783.72461,21016.26953,104.379997,118914.0,14.0,595.0,1.75
2022-06-27,953524,9171,2485835,17609351,981,493685,7703046,42,98517,42369346,20829281,10326517,3639125,15876,5,148358,96,872114,2206,1430243.934,3994747.5,543285660,138573106682,29570168636358,29570168636358,14.60033741,302972.3564,39403.45297,21515.39357,26072,199911982.7,1.62615968,0.004455232,850.0,0.3414523473,33.54716091,22.10230913,25.6153057,16.87646255,20751.0517,0.08974632765,864.6003374,16558929.51,4721996.776,356234.4071,6677883.546,10544328.25,2128460.57,11818418.29,13128263.37,14538112.01,805137.2743,3265276.538,17302902.99,35.00178882,11015853.7,18661707.65,19067285.07,6514464.228,17490672.85,18997826.39,2270453.023,15485938.82,19071647.29,19031800.73,18813605.86,17956888.36,16128394.11,11854534.15,777451.9027,2938819.519,7996108.806,19075949.04,19074065.16,19054611.8,16797606.59,18356632.21,9788912.964,18921653.7,14514390.51,2978534.796,18866060.39,17350265.59,19078692.18,20678300.78,14567746.39,1802899.139,37412053227.0,2575096.229,53435954963,258934,2.996921296,743558,568712.5723,2.793728868,0.00432812,21.98065933,21028.23828,0.4,21478.08984,20620.19922,104.120003,154658.0,12.0,596.0,1.75
2022-06-28,922274,9190,2490158,17613735,979,494210,7712995,41,98398,42368298,20834190,10339244,3644821,15894,5,148292,96,873352,2208,1161651.884,3080999.24,449825889,135433479469,29570168636358,29570168636358,14.31358989,290039.4158,24892.73108,23668.91889,26332,214611394.4,1.745646774,0.0047825939,912.5,0.340736213,31.82659752,21.64488876,24.30176468,16.52733984,20263.21964,0.08750806261,926.8135899,16559260.14,4720232.038,417551.7938,6683709.789,10545370.7,2141356.544,11812097.95,13129387.7,14538776.56,777547.4863,3269803.136,17303759.54,35.03065133,11017395.03,18662190.61,19068196.24,6501112.244,17488961.99,18998746.67,2249318.725,15481880.52,19072559.58,19032759.85,18814280.89,17956108.92,16124845.13,11855821.49,777811.9027,2935625.751,7989562.031,19076858.37,19074925.39,19054813.43,16778124.93,18346517.47,9762101.618,18919832.26,14488150.08,2975341.028,18866322.37,17347435.81,19079604.68,20678414.84,14568571.55,1802979.897,36534177658.0,2560749.353,51889026580,253741,2.93681713,768048,599486.1582,2.816638456,0.00453391,22.06861994,20731.54492,0.4,21164.42383,20228.8125,103.970001,139768.0,10.0,596.0,1.75
2022-06-29,899514,9187,2489700,17605308,983,493215,7710730,42,98456,42354488,20826251,10331275,3644801,15876,5,148151,97,872760,2205,1204570.715,3128293.437,472372309,134181227391,29570168636358,29570168636358,12.92625421,259571.4397,35851.65432,47954.84087,29049,221961099.2,1.805339896,0.0049461367,943.75,0.3412212459,31.98566847,21.57133328,24.43011598,16.4758218,20080.94809,0.08655105,956.6762542,16559543.99,4715537.128,358819.7101,6682016.547,10547810.03,2156706.3,11814297.61,13133993.85,14543557.33,772766.5798,3276486.954,17304675.68,35.02004448,11022387.71,18663197.94,19069139.16,6510688.507,17489311.86,18999770.05,2269673.025,15488489.59,19073502.89,19033701.01,18815360.97,17956979.8,16129293.46,11859113.43,778626.9027,2948258.792,7988488.545,19077801.14,19075847.76,19055384.82,16773935.55,18343489.85,9759045.011,18919439.9,14484065.83,2978069.727,18867301.23,17349584.87,19080548.43,20678532.81,14573402.19,1803058.701,36207128168.0,2574976.831,51707976071,257517,2.980520833,762100,596534.3024,3.499504721,0.00467151,22.17690555,20281.16992,0.4,20364.15625,19937.79102,104.459999,133115.0,13.0,596.0,1.75
2022-06-30,967680,9189,2495139,17640392,985,493638,7728456,41,98565,42379800,20855080,10355225,3653326,15887,5,148360,96,873252,2204,1074390.012,2831150.731,484126775,129375079829,29570168636358,29570168636358,17.00810933,328816.2832,32759.33705,48257.29835,31862,251359920.6,2.044343246,0.0056009404,1068.75,0.3410893327,33.53070561,20.94546886,25.61005501,15.99771313,19332.91213,0.08350920097,1085.758109,16560127.84,4718552.44,471652.8729,6691960.268,10548479.57,2198349.672,11813824.06,13134046.19,14544170.77,835656.969,3286086.461,17305749.34,35.07019455,11014023.78,18663292.5,19070217.68,6508536.071,17487365.62,19000702.67,2244068.128,15484050.24,19074574.09,19034716.21,18815867.26,17955008.45,16125995.45,11851675.27,779227.9027,2925492.136,7980311.283,19078860.86,19076768.53,19054902.2,16652116.75,18285448.63,9495062.588,18909990.07,12572624.21,2965207.413,18867376.77,17347269.18,19081617.18,20678666.41,14574142.02,1804900.208,34893977130.0,2582315.251,49923673837,275120,3.184259259,862342,569078.9034,3.962823938,0.00496214,22.32671388,20108.3125,0.4,20141.16016,18729.65625,105.059998,147364.0,11.0,597.0,1.75
