"DateTime","Aggregated Exchanges","Price"
"2022-12-31 00:00:00",19717.068911460003,16556.254999999997
"2023-01-01 00:00:00",20808.435211949996,16561.335
"2023-01-02 00:00:00",19287.66055515,16656.11
"2023-01-03 00:00:00",19108.538994579998,16685.855
"2023-01-04 00:00:00",24519.674561539996,16811.82
"2023-01-05 00:00:00",18134.81227096,16817.239999999998
"2023-01-06 00:00:00",23133.233143330006,16850.595
"2023-01-07 00:00:00",14108.96120763,16939.004999999997
"2023-01-08 00:00:00",10823.12993725,17022.745
"2023-01-09 00:00:00",32834.248065980006,17245.395
"2023-01-10 00:00:00",27415.22897855,17316.465
"2023-01-11 00:00:00",26645.420937190003,17655.58
"2023-01-12 00:00:00",44041.583756830005,18499.355000000003
"2023-01-13 00:00:00",40535.794793839996,19354.84
"2023-01-14 00:00:00",44156.226437410005,20575.46
"2023-01-15 00:00:00",17100.42214657,20811.675
"2023-01-16 00:00:00",20912.588199849997,21037.36
"2023-01-17 00:00:00",22679.14102195,21210.795
"2023-01-18 00:00:00",31310.874698109994,21018.14
"2023-01-19 00:00:00",32939.97078316001,20925.71
"2023-01-20 00:00:00",32218.635733180006,21804.574999999997
"2023-01-21 00:00:00",26958.462242469992,22896.48
"2023-01-22 00:00:00",16714.76478584,22707.675000000003
"2023-01-23 00:00:00",24585.5970575,22870.165
"2023-01-24 00:00:00",23750.568732790005,22822.309999999998
"2023-01-25 00:00:00",28145.466913980003,23077.82
"2023-01-26 00:00:00",30588.69284939,23069.21
"2023-01-27 00:00:00",32128.929921889998,23039.795
"2023-01-28 00:00:00",12422.3158885,23038.635000000002
"2023-01-29 00:00:00",18109.02760193,23464.73
"2023-01-30 00:00:00",32877.55251500999,23186.815
"2023-01-31 00:00:00",25540.483081929997,22998.275
"2023-02-01 00:00:00",26088.018138879997,23296.115
"2023-02-02 00:00:00",30277.60073807,23826.11
"2023-02-03 00:00:00",20874.75858821,23470.335
"2023-02-04 00:00:00",18315.604642240003,23425.53
"2023-02-05 00:00:00",13663.924410529999,23113.33
"2023-02-06 00:00:00",20009.05684744,22901.715
"2023-02-07 00:00:00",19935.92699586,23047.945
"2023-02-08 00:00:00",18941.23020007,23048.120000000003
"2023-02-09 00:00:00",27393.649554670003,22370.915
"2023-02-10 00:00:00",23105.485192670007,21717.7
"2023-02-11 00:00:00",14281.306034289993,21754.364999999998
"2023-02-12 00:00:00",12328.091301849998,21870.55
"2023-02-13 00:00:00",27311.774030090004,21651.34
"2023-02-14 00:00:00",22694.2354321,21947.985
"2023-02-15 00:00:00",29382.94389565,23199.215
"2023-02-16 00:00:00",36902.847536049994,24377.895
"2023-02-17 00:00:00",27498.503159939995,24190.65
"2023-02-18 00:00:00",14964.047851960004,24654.629999999997
"2023-02-19 00:00:00",13360.147677,24714.205
"2023-02-20 00:00:00",18988.212474639997,24485.995
"2023-02-21 00:00:00",22951.68824678,24692.475
"2023-02-22 00:00:00",19196.978279590003,24034.775
