Date,DiffLast,DiffMean,CapAct1yrUSD,HashRate,Open,Close,Rate
2022-05-07,29794407589312.0,29794407589312.0,237156796771.0,211795589.9,36042.50391,35508.71102,2.86
2022-05-08,29794407589312.0,29794407589312.0,225135939592.0,229568645.6,35502.94141,34058.90669,2.76
2022-05-09,29794407589312.0,29794407589312.0,201624643691.0,229568645.6,34060.01563,30457.92182,2.75
2022-05-10,31251101365711.0,29870574584156.0,205203849272.0,227185770.4,30273.6543,30990.73517,2.75
2022-05-11,31251101365711.0,31251101365711.0,191175598838.0,225257596.9,31016.18359,28796.55682,2.74
2022-05-12,31251101365711.0,31251101365711.0,192844011413.0,209722591.1,28936.73438,29030.70704,2.85
2022-05-13,31251101365711.0,31251101365711.0,193912414953.0,236132103.6,29030.91016,29285.93467,2.85
2022-05-14,31251101365711.0,31251101365711.0,199793250475.0,219043595.9,29285.64258,30051.93576,2.94
2022-05-15,31251101365711.0,31251101365711.0,206658789540.0,189527081.9,30098.58594,31182.62125,2.92
2022-05-16,31251101365711.0,31251101365711.0,198191489391.0,254774111.0,31304.375,29889.61248,2.96
2022-05-17,31251101365711.0,31251101365711.0,202057960295.0,228364598.5,29862.4082,30438.19445,3.04
2022-05-18,31251101365711.0,31251101365711.0,190909682357.0,208169091.5,30424.47852,28771.22048,2.98
2022-05-19,31251101365711.0,31251101365711.0,201215055071.0,189527081.9,28720.35938,30257.88525,3.03
2022-05-20,31251101365711.0,31251101365711.0,193653819772.0,198848086.7,30311.11914,29224.246,3.04
2022-05-21,31251101365711.0,31251101365711.0,193675699292.0,209722591.1,29199.85938,29420.07829,3.15
2022-05-22,31251101365711.0,31251101365711.0,199276100686.0,189527081.9,29432.47266,30331.87514,3.43
2022-05-23,31251101365711.0,31251101365711.0,191106864397.0,248560107.8,30309.39648,29088.25154,3.49
2022-05-24,31251101365711.0,31251101365711.0,194536536914.0,186420080.3,29101.125,29643.68376,3.33
2022-05-25,29897409688834.0,30658861257077.0,193864866369.0,219464677.4,29653.13477,29577.25988,3.28
2022-05-26,29897409688834.0,29897409688834.0,192182291075.0,209555370.6,29564.77734,29332.48605,3.25
2022-05-27,29897409688834.0,29897409688834.0,187524553424.0,205096744.3,29251.14063,28612.04131,3.16
2022-05-28,29897409688834.0,29897409688834.0,190189264432.0,219958828.4,28622.625,29045.52063,3.09
2022-05-29,29897409688834.0,29897409688834.0,192713580965.0,221445035.8,29019.86719,29430.06898,3.13
2022-05-30,29897409688834.0,29897409688834.0,207067383154.0,228876076.8,29443.36523,31735.95497,3.2
2022-05-31,29897409688834.0,29897409688834.0,207692932412.0,216986411.6,31723.86523,31831.40953,3.2
2022-06-01,29897409688834.0,29897409688834.0,194749832442.0,202124327.4,31792.55469,29825.9222,3.2
2022-06-02,29897409688834.0,29897409688834.0,200064006914.0,185776038.1,29794.89063,30504.268,3.2
2022-06-03,29897409688834.0,29897409688834.0,194801896731.0,212527787.4,30467.80664,29662.67097,3.16
2022-06-04,29897409688834.0,29897409688834.0,195609468803.0,206582953.7,29706.13867,29792.40768,3.16
2022-06-05,29897409688834.0,29897409688834.0,196288296255.0,216986411.6,29835.11719,29915.4093,3.09
2022-06-06,29897409688834.0,29897409688834.0,205567471001.0,222931245.2,29910.2832,31333.67702,3.13
2022-06-07,29897409688834.0,29897409688834.0,204595146850.0,240765744.1,31371.74219,31175.03243,3.2
2022-06-08,30283293547737.0,30118534147306.0,198386946879.0,266501680.4,31151.48047,30228.4647,3.2
2022-06-09,30283293547737.0,30283293547737.0,197243604854.0,219787040.6,30215.2793,30064.48553,3.16
2022-06-10,30283293547737.0,30283293547737.0,190758768741.0,221292430.3,30110.33008,29070.40003,3.09
2022-06-11,30283293547737.0,30283293547737.0,186349228269.0,231830164.9,29084.66602,28360.78992,3.13
2022-06-12,30283293547737.0,30283293547737.0,176418095322.0,191184616.4,28373.51367,26830.28395,3.2
2022-06-13,30283293547737.0,30283293547737.0,147239297206.0,200216961.2,26737.57813,22316.25704,3.2
2022-06-14,30283293547737.0,30283293547737.0,145923031241.0,219787040.6,22487.98633,22072.86631,3.16
2022-06-15,30283293547737.0,30283293547737.0,149217088553.0,248389462.7,22196.73047,22520.79101,3.09
2022-06-16,30283293547737.0,30283293547737.0,134631671597.0,179141492.1,22576.30469,20310.17698,3.13
2022-06-17,30283293547737.0,30283293547737.0,136556156343.0,162582194.3,20385.71875,20464.92909,3.2
2022-06-18,30283293547737.0,30283293547737.0,126964534993.0,234840946.5,20473.42578,19013.86725,3.2
2022-06-19,30283293547737.0,30283293547737.0,136676388314.0,200216961.2,19010.90234,20492.29517,3.2
2022-06-20,30283293547737.0,30283293547737.0,137154237627.0,198711571.5,20553.37109,20571.62922,3.16
2022-06-21,30283293547737.0,30283293547737.0,138228976565.0,225808603.9,20594.29492,20688.46513,3.09
2022-06-22,29570168636358.0,30111922445002.0,133658394439.0,193096459.4,20719.41406,20003.16834,3.13
2022-06-23,29570168636358.0,29570168636358.0,140915722252.0,223431041.4,19986.60742,21097.10283,3.2
2022-06-24,29570168636358.0,29570168636358.0,142333329822.0,189622395.5,21084.64844,21299.07699,3.2
2022-06-25,29570168636358.0,29570168636358.0,143447506423.0,221961099.2,21233.60938,21468.34316,3.1
2022-06-26,29570168636358.0,29570168636358.0,140646960600.0,202851865.0,21496.49414,21066.62094,2.98
2022-06-27,29570168636358.0,29570168636358.0,138573106682.0,199911982.7,21028.23828,20751.0517,2.88
2022-06-28,29570168636358.0,29570168636358.0,135433479469.0,214611394.4,20731.54492,20263.21964,2.82
2022-06-29,29570168636358.0,29570168636358.0,134181227391.0,221961099.2,20281.16992,20080.94809,2.82
2022-06-30,29570168636358.0,29570168636358.0,129375079829.0,251359920.6,20108.3125,19332.91213,2.93
2022-07-01,29570168636358.0,29570168636358.0,129282386966.0,196972102.4,19820.4707,19341.86312,2.88
2022-07-02,29570168636358.0,29570168636358.0,128520711353.0,202851865.0,19274.83594,19231.83171,2.82
2022-07-03,29570168636358.0,29570168636358.0,128943834147.0,227840863.9,19242.0957,19276.51466,2.82
2022-07-04,29570168636358.0,29570168636358.0,135285639913.0,210201571.9,19297.31445,20226.29847,2.93
2022-07-05,29570168636358.0,29570168636358.0,135049486942.0,173453043.7,20225.35352,20193.34279,3.01
2022-07-06,29152798808272.0,29557023129962.0,137604099532.0,186599522.9,20194.61914,20560.84381,3.09
2022-07-07,29152798808272.0,29152798808272.0,144892416037.0,227523378.3,20547.81445,21651.41914,2.99
2022-07-08,29152798808272.0,29152798808272.0,145909424382.0,214480636.9,21637.1543,21813.78712,2.96
2022-07-09,29152798808272.0,29152798808272.0,144330831264.0,194191928.5,21716.82813,21585.13219,2.91
2022-07-10,29152798808272.0,29152798808272.0,139251347011.0,221726603.9,21591.08008,20831.27339,2.96
2022-07-11,29152798808272.0,29152798808272.0,134044228789.0,178250799.9,20856.35352,19971.32947,2.93
2022-07-12,29152798808272.0,29152798808272.0,129708979526.0,218828216.6,19970.47461,19339.15347,2.96
2022-07-13,29152798808272.0,29152798808272.0,135154452393.0,159411284.0,19325.97266,20155.52784,3.01
2022-07-14,29152798808272.0,29152798808272.0,137845034724.0,179699992.4,20211.4668,20552.89903,3.04
2022-07-15,29152798808272.0,29152798808272.0,139587805178.0,205785475.2,20573.15625,20831.7227,2.91
2022-07-16,29152798808272.0,29152798808272.0,142000496834.0,214480636.9,20834.10352,21196.50914,2.77
2022-07-17,29152798808272.0,29152798808272.0,139419751409.0,179699992.4,21195.04102,20827.88861,2.81
2022-07-18,29152798808272.0,29152798808272.0,149445527529.0,189844346.6,20781.91211,22305.70664,2.81
2022-07-19,29152798808272.0,29152798808272.0,157626184406.0,199988700.8,22467.84961,23371.20266,2.78
2022-07-20,29152798808272.0,29152798808272.0,157029162717.0,182598379.6,23393.19141,23280.93567,2.68
2022-07-21,27692567959234.0,28774609523629.0,157016526794.0,198824710.6,23233.20117,23152.40931,2.67
2022-07-22,27692567959234.0,27692567959234.0,153886075240.0,181711863.3,23163.75195,22706.08356,2.6
2022-07-23,27692567959234.0,27692567959234.0,152367851772.0,211997172.2,22706.98438,22484.45923,2.75
2022-07-24,27692567959234.0,27692567959234.0,153494906095.0,216126988.6,22465.50977,22653.35703,2.73
2022-07-25,27692567959234.0,27692567959234.0,145814974544.0,195477912.6,22607.15625,21510.12559,2.68
2022-07-26,27692567959234.0,27692567959234.0,143402745802.0,220256803.0,21361.12109,21181.6592,2.83
2022-07-27,27692567959234.0,27692567959234.0,154199966018.0,227139827.6,21244.16992,22898.41507,2.77
2022-07-28,27692567959234.0,27692567959234.0,159526453243.0,194101308.5,22933.64063,23838.55688,2.8
2022-07-29,27692567959234.0,27692567959234.0,159662799279.0,200984333.1,23845.21289,23950.74038,2.78
2022-07-30,27692567959234.0,27692567959234.0,154831562297.0,177582046.9,23796.81836,23623.43496,2.87
2022-07-31,27692567959234.0,27692567959234.0,153124179987.0,209243963.9,23652.07031,23356.17222,2.84
2022-08-01,27692567959234.0,27692567959234.0,152920240321.0,187218281.8,23336.71875,23331.4427,2.79
2022-08-02,27692567959234.0,27692567959234.0,150989773470.0,213373778.3,23308.43359,23031.42688,2.82
2022-08-03,27692567959234.0,27692567959234.0,149539786214.0,199607727.0,22981.30273,22809.74744,2.89
